,name,mjd,p,p_up,p_lo,log_F_nu,log_F_nu_up,log_F_nu_lo,log_nu_a,log_nu_a_up,log_nu_a_lo,z,lum_dist,disc_date,dt,Req,Eeq,Req_up,Eeq_up,Req_lo,Eeq_lo,Gamma
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,1.814068698974244e+19,4.6202656941946606e+48,4.0619835398329876e+18,1.5949478830825792e+48,4.0619835398329876e+18,1.5949478830825792e+48,8
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,3.974024020589549e+18,6.401506471265165e+48,3.231160328035241e+17,8.776558916694792e+47,3.231160328035241e+17,8.776558916694792e+47,9
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,1.945127775631216e+18,3.221245986730645e+48,1.0889078358519808e+16,5.991398296080125e+46,1.0889078358519808e+16,5.991398296080125e+46,9
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,1.3527188465440476e+18,1.5047466226299873e+48,4722330326584320.0,1.3844940566865314e+46,4722330326584320.0,1.3844940566865314e+46,9
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,4.307009505192403e+19,1.1605393811385973e+49,1.0816461222818726e+19,2.3814313323603786e+48,1.0816461222818726e+19,2.3814313323603786e+48,9
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,8.33635072980794e+18,1.7273186113092436e+49,9.998797344007393e+17,2.543959436847869e+48,9.998797344007393e+17,2.543959436847869e+48,9
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,7.898629255041857e+18,2.1928462769165322e+49,1.0285503975430912e+18,5.025778701499886e+48,1.0285503975430912e+18,5.025778701499886e+48,9
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,1.406995509087517e+19,3.777949286860522e+49,1.241468460145666e+18,2.8988974865407996e+48,1.241468460145666e+18,2.8988974865407996e+48,9
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,8.222164542000179e+18,2.421166077688476e+48,2.47270676941252e+18,7.284428435282111e+47,2.47270676941252e+18,7.284428435282111e+47,9
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,1.7827967402314924e+19,3.3579239228525666e+48,6.087539235742695e+18,1.0114460774429693e+48,6.087539235742695e+18,1.0114460774429693e+48,9
